language,idiom,type,genlang_point,map,feature,value1_name,value1,source,page,contributor,date,value2_name,value2,contributer
Kryz,Kryz,village,no,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,kibrikkodzasov1990,345,Viola Ivanova,2017.05.06,,,
Kumyk,Standard Kumyk,language,yes,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,abdullaevaetal2014,33--56,George Moroz,2021.10.04,,,
Lak,Khosrekh,village,yes,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,kibrikkodzasov1990,333,Viola Ivanova,2017.05.06,,,
Lezgian,Khlyut,village,no,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,kibrikkodzasov1990,341,George Moroz,2017.05.06,,,
Lezgian,Standard Lezgian,language,yes,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,gaydarivetal2009,56,George Moroz,2021.10.04,,,
Nogai,Nogai,language,yes,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,baskakov1940,27,George Moroz,2021.10.04,,,
Rutul,Luchek,village,yes,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,alekseev1994,215,George Moroz,2021.10.04,,,
Rutul,Luchek,village,no,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,kibrikkodzasov1990,342--343,Viola Ivanova,2017.05.06,,,
Tabasaran,Dyubek,village,no,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,kibrikkodzasov1990,336,George Moroz,2017.05.06,,,
Tabasaran,Standard Tabasaran,language,yes,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,alekseevshixalieva2003,29,George Moroz,2021.10.04,,,
Tat,Northern Azerbaijani Tat,dialect_toplevel,yes,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,griunberg1963,17,George Moroz,2021.10.04,,,
Tindi,Tindi,village,no,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,kibrikkodzasov1990,326--327,Viola Ivanova,2017.05.06,,,
Tindi,Tindi,village,yes,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,magomedova2012,14--38,George Moroz,2021.10.04,,,
Tsakhur,Mikik,village,no,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,kibrikkodzasov1990,343,George Moroz,2017.05.06,,,
Tsakhur,Mishlesh,village,yes,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,kibrik1999,16,George Moroz,2021.10.04,,,
Tsez,Kidero,village,no,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,kibrikkodzasov1990,328,Viola Ivanova,2017.05.06,,,
Tsez,Sagada,village,yes,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,wilson2021,388,George Moroz,2021.10.04,,,
Tsova-Tush,Zemo-Alvani,village,yes,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,holiskygagua1994,150,George Moroz,2021.10.04,,,
Udi,Nidzh,village,yes,yes,Presence of ejective fricatives,Presence of ejective fricatives,not attested,kibrikkodzasov1990,347,Viola Ivanova,2017.05.06,,,
