glottocode,lang,language,idiom,type,segment,segment_source,segment_type,source,page,comment,contributer,date
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,tɬ'ʷ,ʟ'˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,tɬː,ʟ̄,consonant,kibrikkodzasov1990,322–323,"спирантная часть сильных аффрикат произносится узко, напряженно и без придыхания",Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,tɬːʷ,ʟ̄˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,tɬʷ,ʟ˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,ts',c',consonant,kibrikkodzasov1990,322–323,редкая фонема для этого языка; у абруптивных слабых — укороченная спирантная часть,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,ts'ː,c̄',consonant,kibrikkodzasov1990,322–323,"спирантная часть сильных аффрикат произносится узко, напряженно и без придыхания; абруптивные сильные имеют удлиненную и глоттализованную спирантную часть; в интервокальной позиции сильные аффрикаты распадаются на смычную часть (прикрывает предыдущий слог) и спирантную (открывает следующий)",Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,ts'ːʷ,c̄'˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,ts'ʷ,c'˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,tsː,c̄,consonant,kibrikkodzasov1990,322–323,спирантная часть слабых аффрикат произносится очень воздушно и сопровождается придыханием,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,tsːʷ,c̄˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,tsʰ,c,consonant,kibrikkodzasov1990,322–323,редкая фонема для этого языка; спирантная часть слабых аффрикат произносится очень воздушно и сопровождается придыханием,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,tsʰʷ,c˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,tʃ',č',consonant,kibrikkodzasov1990,322–323,редкая фонема для этого языка; у абруптивных слабых — укороченная спирантная часть,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,tʃ'ː,c̄̌',consonant,kibrikkodzasov1990,322–323,"спирантная часть сильных аффрикат произносится узко, напряженно и без придыхания; абруптивные сильные имеют удлиненную и глоттализованную спирантную часть",Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,tʃ'ːʷ,c̄̌'˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
akhv1239,Akhvakh,Akhvakh,Tad-Magitl',village,tʃ'ʷ,č'˳,consonant,kibrikkodzasov1990,322–323,,Viola Ivanova,2017.05.06
